id,title
16596101,Asian
16596101, Malaysian
16596101, Thai
16596190,Japanese
16596190, Sushi
16596209,Modern Australian
16596428,Cafe
16596615,Chinese
16596635,Spanish
16596635, Tapas
16596946,Healthy Food
16596946, Pizza
16596946, Modern Australian
16597128,Japanese
16597128, Sushi
16598515,Cafe
16598515, Modern Australian
16598850,Thai
16599475,Tapas
16599475, Modern Australian
16599503,Modern Australian
16599574,Italian
16599574, Pizza
16599908,Tapas
16599908, Thai
16601159,American
16601159, BBQ
16601159, Bar Food
16601159, Street Food
16601566,Japanese
16602019,German
16602019, Bar Food
18156148,Australian
18156148, European
18156149,Bar Food
18257431,Tapas
18257431, French
18257431, Basque
18257431, Spanish
18257431, Contemporary
18275323,Modern Australian
18275323, Modern European
18307682,Grill
18309589,Australian
16595728,Modern Australian
16595738,Brasserie
16595738, Steak
16595755,Korean
16595755, BBQ
16595766,European
16595766, Modern Australian
16595831,Modern Australian
16595831, European
16596006,Modern Australian
16596006, Australian
16596256,Steak
16596256, Modern Australian
16596448,American
16596448, Burger
16596448, Steak
16596448, BBQ
16596564,Seafood
16596564, Modern Australian
16597685,Grill
16597685, Steak
16599085,European
16599097,Seafood
16599097, Modern Australian
