,Title,Awards,Wins,Nominations,Bafta_Nominations,Oscar_Nominations,Prime_Nominations,Golden_Globe_Nominations,Bafta_Wins,Oscar_Wins,Prime_Wins,Golden_Globe_Wins
277,Anton - min hemmelige ven,,0,0,0,0,0,0,0,0,0,0
278,10 Play,,0,0,0,0,0,0,0,0,0,0
279,Close to Home,,0,0,0,0,0,0,0,0,0,0
280,A tu lado,,0,0,0,0,0,0,0,0,0,0
281,Abierto al anochecer,,0,0,0,0,0,0,0,0,0,0
282,The Wedding Video,,0,0,0,0,0,0,0,0,0,0
283,Around the Horn,,0,0,0,0,0,0,0,0,0,0
284,Pride & Loyalty,,0,0,0,0,0,0,0,0,0,0
285,Slick City: The Adventures of Lela Devin,,0,0,0,0,0,0,0,0,0,0
286,Home,,0,0,0,0,0,0,0,0,0,0
287,100 mexicanos dijeron,,0,0,0,0,0,0,0,0,0,0
288,Abschnitt 40,7 wins & 7 nominations.,7,7,0,0,0,0,0,0,0,0
289,Renacer,,0,0,0,0,0,0,0,0,0,0
290,Al descubierto,,0,0,0,0,0,0,0,0,0,0
291,Al rojo vivo con María Celeste,1 nomination.,0,1,0,0,0,0,0,0,0,0
292,A Very Modern Dictator: A Profile of Slobodan Milosevic,,0,0,0,0,0,0,0,0,0,0
293,A Ganar con Omar,,0,0,0,0,0,0,0,0,0,0
294,A plena luz,,0,0,0,0,0,0,0,0,0,0
295,De Colores,,0,0,0,0,0,0,0,0,0,0
296,Q,,0,0,0,0,0,0,0,0,0,0
297,Achmea kennisquiz,,0,0,0,0,0,0,0,0,0,0
298,Andy Pandy: Andy Pandy's Band,,0,0,0,0,0,0,0,0,0,0
299,Round Up: Deposing 'The Usual Suspects',,0,0,0,0,0,0,0,0,0,0
300,Las dos caras del señor,,0,0,0,0,0,0,0,0,0,0
301,The Rolling Stones: Just for the Record,,0,0,0,0,0,0,0,0,0,0
302,Aalippazham,,0,0,0,0,0,0,0,0,0,0
303,An American Dream,,0,0,0,0,0,0,0,0,0,0
304,A Personal Story,,0,0,0,0,0,0,0,0,0,0
305,Happy Holidays: The Best of the Andy Williams Christmas Specials,,0,0,0,0,0,0,0,0,0,0
306,99 Things to Do Before You Die,,0,0,0,0,0,0,0,0,0,0
307,6000 a Day: An Account of a Catastrophe Foretold,,0,0,0,0,0,0,0,0,0,0
308,Xingu: Land of No Shame,,0,0,0,0,0,0,0,0,0,0
309,Baaje Payal,,0,0,0,0,0,0,0,0,0,0
310,Pure Imagination: The Story of 'Willy Wonka and the Chocolate Factory',,0,0,0,0,0,0,0,0,0,0
311,Awaaz,,0,0,0,0,0,0,0,0,0,0
312,Agneepath,,0,0,0,0,0,0,0,0,0,0
313,Comic Remix,,0,0,0,0,0,0,0,0,0,0
314,Ai nante iranê yo; natsu,,0,0,0,0,0,0,0,0,0,0
315,3K Check In,,0,0,0,0,0,0,0,0,0,0
316,Akvariumas,,0,0,0,0,0,0,0,0,0,0
317,Angling Unlimited,,0,0,0,0,0,0,0,0,0,0
318,Babelstårnet 2001,,0,0,0,0,0,0,0,0,0,0
319,A Minha Familia É Uma Animação,,0,0,0,0,0,0,0,0,0,0
320,Advent - med budbringeren på job,,0,0,0,0,0,0,0,0,0,0
321,Joe Satriani: Live in San Francisco,,0,0,0,0,0,0,0,0,0,0
322,Life in the Cage,,0,0,0,0,0,0,0,0,0,0
323,All the Russias,,0,0,0,0,0,0,0,0,0,0
324,Blood of the Vikings,,0,0,0,0,0,0,0,0,0,0
325,Suicide,,0,0,0,0,0,0,0,0,0,0
326,Hannibal: The Man Who Hated Rome,1 win.,1,0,0,0,0,0,0,0,0,0
327,Babies: Special Delivery,,0,0,0,0,0,0,0,0,0,0
328,Agente 700,,0,0,0,0,0,0,0,0,0,0
329,100% Greve,,0,0,0,0,0,0,0,0,0,0
330,6ixth Sense with Colin Fry,,0,0,0,0,0,0,0,0,0,0
331,7 jours au Groland,,0,0,0,0,0,0,0,0,0,0
332,MTV New Years Eve 2001,,0,0,0,0,0,0,0,0,0,0
333,20 Years on MTV,,0,0,0,0,0,0,0,0,0,0
334,The Great Escape: Preparations for Freedom,,0,0,0,0,0,0,0,0,0,0
335,TV Land Legends: The 60 Minutes Interviews,,0,0,0,0,0,0,0,0,0,0
336,7 de notícies,,0,0,0,0,0,0,0,0,0,0
337,A Racing Car Is Born,,0,0,0,0,0,0,0,0,0,0
338,+ Clair,,0,0,0,0,0,0,0,0,0,0
339,Venice: Lost and Found,,0,0,0,0,0,0,0,0,0,0
340,Boys Will Be Boys,,0,0,0,0,0,0,0,0,0,0
341,Damon Blows America Volume 1: Portland Oregon,,0,0,0,0,0,0,0,0,0,0
342,Grease 20th Anniversary Re-Release Party,,0,0,0,0,0,0,0,0,0,0
343,Dream Girls,,0,0,0,0,0,0,0,0,0,0
344,After Midnight,,0,0,0,0,0,0,0,0,0,0
345,A Guy and a Girl,1 nomination.,0,1,0,0,0,0,0,0,0,0
346,A Senhora das Águas,,0,0,0,0,0,0,0,0,0,0
347,Doble juego,,0,0,0,0,0,0,0,0,0,0
348,Agentstvo NLS,,0,0,0,0,0,0,0,0,0,0
349,Access Mayor,,0,0,0,0,0,0,0,0,0,0
350,Ah yasamak var ya!,,0,0,0,0,0,0,0,0,0,0
351,No Escape: Prison Rape,,0,0,0,0,0,0,0,0,0,0
352,Allies at War,,0,0,0,0,0,0,0,0,0,0
353,Volcanoes,,0,0,0,0,0,0,0,0,0,0
354,A pèl,,0,0,0,0,0,0,0,0,0,0
355,Casting,,0,0,0,0,0,0,0,0,0,0
356,Promise Land,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
357,Alejo y Valentina,,0,0,0,0,0,0,0,0,0,0
358,Acosada,,0,0,0,0,0,0,0,0,0,0
359,2020 Vision,,0,0,0,0,0,0,0,0,0,0
360,Binomio. Los siameses españoles,,0,0,0,0,0,0,0,0,0,0
361,Captured,,0,0,0,0,0,0,0,0,0,0
362,A la suerte de la olla,,0,0,0,0,0,0,0,0,0,0
363,Mink Liberation Front,,0,0,0,0,0,0,0,0,0,0
364,Advanced Film Theory with Professor Gregor,,0,0,0,0,0,0,0,0,0,0
365,Ask Anna,1 nomination.,0,1,0,0,0,0,0,0,0,0
366,Africa,,0,0,0,0,0,0,0,0,0,0
367,Ashleigh Banfield: On Location,,0,0,0,0,0,0,0,0,0,0
368,A las tr3s,,0,0,0,0,0,0,0,0,0,0
369,Guardian,,0,0,0,0,0,0,0,0,0,0
370,48 Hour Wedding,,0,0,0,0,0,0,0,0,0,0
371,Agencija osameni srca,,0,0,0,0,0,0,0,0,0,0
372,Diary of a Mad Black Woman,,0,0,0,0,0,0,0,0,0,0
373,Encounter,,0,0,0,0,0,0,0,0,0,0
374,A Jóia de África,1 win.,1,0,0,0,0,0,0,0,0,0
375,Hanratty: The Whole Truth,,0,0,0,0,0,0,0,0,0,0
376,Back to the Floor,,0,0,0,0,0,0,0,0,0,0
377,A Minha Sogra É uma Bruxa,,0,0,0,0,0,0,0,0,0,0
378,Around Space,,0,0,0,0,0,0,0,0,0,0
379,A Verdade de...,,0,0,0,0,0,0,0,0,0,0
380,Art That Shook the World,,0,0,0,0,0,0,0,0,0,0
381,7 Vidas,,0,0,0,0,0,0,0,0,0,0
382,A escena,,0,0,0,0,0,0,0,0,0,0
383,The Littlest Circus,,0,0,0,0,0,0,0,0,0,0
384,Down to Earth,,0,0,0,0,0,0,0,0,0,0
