word,frequency,rank
cassi,107,1651
dost,107,1652
guess,107,1653
peculiar,106,1654
fully,106,1655
ball,106,1656
strike,106,1657
dance,106,1658
purple,106,1659
hoped,106,1660
conscience,106,1661
rolled,106,1662
important,106,1663
mistaken,106,1664
cook,106,1665
consumed,106,1666
salt,106,1667
weeks,106,1668
heat,105,1669
bell,105,1670
legs,105,1671
forced,105,1672
bent,105,1673
office,105,1674
browns,105,1675
ram,104,1676
nine,104,1677
path,104,1678
allowed,104,1679
knoweth,104,1680
hung,104,1681
putting,104,1682
james,103,1683
lines,103,1684
shook,103,1685
falling,103,1686
ass,103,1687
anybody,103,1688
absalom,103,1689
mentioned,103,1690
swift,103,1691
favourite,103,1692
nights,103,1693
pause,103,1694
resolved,103,1695
plan,103,1696
established,103,1697
highest,103,1698
terror,103,1699
flame,103,1700
leonora,103,1701
various,103,1702
convinced,103,1703
doe,102,1704
mortal,102,1705
thunder,102,1706
begun,102,1707
satisfaction,102,1708
goats,102,1709
writing,102,1710
faint,102,1711
colour,102,1712
telling,101,1713
heed,101,1714
persuaded,101,1715
passion,101,1716
finding,101,1717
extraordinary,101,1718
hopes,101,1719
shoulders,101,1720
choice,101,1721
pool,101,1722
opposite,101,1723
stead,100,1724
arrived,100,1725
landlord,100,1726
folly,100,1727
gilead,100,1728
returning,100,1729
affliction,100,1730
confusion,100,1731
hal,100,1732
friendship,100,1733
frightened,100,1734
secure,100,1735
refuse,100,1736
canaan,100,1737
mistake,100,1738
completely,99,1739
abide,99,1740
influence,99,1741
sailor,99,1742
proved,99,1743
highly,99,1744
finger,99,1745
liked,99,1746
rent,99,1747
canst,98,1748
smiled,98,1749
wept,98,1750
flask,98,1751
glance,98,1752
wheel,98,1753
eating,98,1754
prove,98,1755
pulled,98,1756
beg,98,1757
considerable,98,1758
watching,98,1759
astonishment,98,1760
wholly,98,1761
patience,98,1762
leviathan,97,1763
pillars,97,1764
accept,97,1765
chair,97,1766
remnant,97,1767
touching,97,1768
lambs,97,1769
devils,97,1770
opportunity,97,1771
mention,97,1772
mouse,97,1773
shekels,97,1774
key,97,1775
behaviour,97,1776
pitched,97,1777
bought,97,1778
threescore,96,1779
fault,96,1780
rocks,96,1781
heavenly,96,1782
entire,96,1783
liveth,96,1784
girls,96,1785
utmost,96,1786
doeth,96,1787
share,96,1788
womb,96,1789
dancing,95,1790
almighty,95,1791
dog,95,1792
madam,95,1793
stick,95,1794
risen,95,1795
hole,95,1796
queer,95,1797
guard,95,1798
proof,95,1799
sensible,95,1800
happen,95,1801
nantucket,95,1802
ends,95,1803
takes,94,1804
sooner,94,1805
weary,94,1806
swords,94,1807
ring,94,1808
em,94,1809
oath,94,1810
moving,94,1811
ordinary,94,1812
willing,94,1813
whereof,94,1814
difficulty,94,1815
prophesy,94,1816
